product_id,category,name,price,article,description,image_path,url,color,sizes,last_update
product_id,category,name,price,article,description,image_path,url,color,sizes,last_update
315347902702,Women Shoes,Nike Dunk Low Next Nature,£ 109.99,315347902702,,data/images/footlocker/products/315347902702,https://www.footlocker.co.uk/en/product/nike-dunk-low-next-nature-womenshoes/315347902702.html,Hemp-Sail,,2025-05-14 01:55:56
315349378802,Women Shoes,Nike Dunk Low,£ 90.00,315349378802,,data/images/footlocker/products/315349378802,https://www.footlocker.co.uk/en/product/nike-dunk-low-womenshoes/315349378802.html,Coconut Milk-Univ Red,,2025-05-14 01:55:56
315349287102,Women Shoes,Nike Dunk Low,£ 109.99,315349287102,,data/images/footlocker/products/315349287102,https://www.footlocker.co.uk/en/product/nike-dunk-low-womenshoes/315349287102.html,Phantom-Red Sepia-Sail,,2025-05-14 01:55:56
315347227902,Women Shoes,Nike Dunk Low,£ 119.99,315347227902,,data/images/footlocker/products/315347227902,https://www.footlocker.co.uk/en/product/nike-dunk-low-womenshoes/315347227902.html,Lt Soft Pink-Coconut Milk-Platinum Tint,,2025-05-14 01:55:56
315349551002,Women Shoes,Nike Dunk Low,£ 109.99,315349551002,,data/images/footlocker/products/315349551002,https://www.footlocker.co.uk/en/product/nike-dunk-low-womenshoes/315349551002.html,Sail-Parachute Beige,,2025-05-14 01:55:56
315349554402,Women Shoes,Nike Dunk Low,£ 95.00,315349554402,,data/images/footlocker/products/315349554402,https://www.footlocker.co.uk/en/product/nike-dunk-low-womenshoes/315349554402.html,Amber Brown-Pale Ivory,,2025-05-14 01:55:56
315347043002,Women Shoes,Nike Dunk Low,£ 109.99,315347043002,,data/images/footlocker/products/315347043002,https://www.footlocker.co.uk/en/product/nike-dunk-low-womenshoes/315347043002.html,Offnoir-Light Khaki,,2025-05-14 01:55:56
315349452102,Women Shoes,Nike Dunk Low Twist,£ 128.99,315349452102,,data/images/footlocker/products/315349452102,https://www.footlocker.co.uk/en/product/nike-dunk-low-twist-womenshoes/315349452102.html,Phantom-Baroque Brown,,2025-05-14 01:55:56
315349755702,Women Shoes,Nike Dunk High Next Nature,£ 119.99,315349755702,,data/images/footlocker/products/315349755702,https://www.footlocker.co.uk/en/product/nike-dunk-high-next-nature-womenshoes/315349755702.html,Blue-Platinum Tint,,2025-05-14 01:55:56
315349544502,Women Shoes,Nike Dunk High,£ 128.99,315349544502,,data/images/footlocker/products/315349544502,https://www.footlocker.co.uk/en/product/nike-dunk-high-womenshoes/315349544502.html,White-Glacier Blue,,2025-05-14 01:55:56
316475119604,Pre School Shoes,Nike Dunk Low,£ 49.99,316475119604,,data/images/footlocker/products/316475119604,https://www.footlocker.co.uk/en/product/nike-dunk-low-pre-school-shoes/316475119604.html,White-Black-White,,2025-05-14 01:56:12
316476586504,Pre School Shoes,Nike Dunk Low,£ 64.99,316476586504,,data/images/footlocker/products/316476586504,https://www.footlocker.co.uk/en/product/nike-dunk-low-pre-school-shoes/316476586504.html,White-Laser Fuchsia,,2025-05-14 01:56:12
316479488104,Pre School Shoes,Nike Dunk Low,£ 59.99,316479488104,,data/images/footlocker/products/316479488104,https://www.footlocker.co.uk/en/product/nike-dunk-low-pre-school-shoes/316479488104.html,White-White,,2025-05-14 01:56:12
316475443004,Pre School Shoes,Nike Dunk Low,£ 59.99,316475443004,,data/images/footlocker/products/316475443004,https://www.footlocker.co.uk/en/product/nike-dunk-low-pre-school-shoes/316475443004.html,Light Silver-Sail,,2025-05-14 01:56:12
316475460404,Pre School Shoes,Nike Dunk Low,£ 59.99,316475460404,,data/images/footlocker/products/316475460404,https://www.footlocker.co.uk/en/product/nike-dunk-low-pre-school-shoes/316475460404.html,White-Photon Dust,,2025-05-14 01:56:12
316479308104,Pre School Shoes,Nike Dunk Low,£ 49.99,316479308104,,data/images/footlocker/products/316479308104,https://www.footlocker.co.uk/en/product/nike-dunk-low-pre-school-shoes/316479308104.html,White-Hyper Royal-Hyper Royal,,2025-05-14 01:56:12
316700322304,Grade School Shoes,Nike Dunk Low,£ 69.99,316700322304,,data/images/footlocker/products/316700322304,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316700322304.html,White-Black-White,,2025-05-14 01:56:12
